cluster,n_cells,n_obs,mean_fc,mean_ps,skill,p95_fc,p99_fc,neg_skill_frac,d80,zero_cell_note
0,129,1679580,NA,1153.183,NA,NA,NA,NA,33,
1,127,1653540,NA,3869.649,NA,NA,NA,NA,38,
2,37,481740,NA,2830.396,NA,NA,NA,NA,38,
3,83,1080660,NA,2732.340,NA,NA,NA,NA,38,
4,171,2226420,NA,3773.812,NA,NA,NA,NA,37,
5,24,312480,NA,3776.531,NA,NA,NA,NA,37,
6,215,2799300,NA,3632.847,NA,NA,NA,NA,34,
7,19,247380,NA,4371.534,NA,NA,NA,NA,38,
8,85,1106700,NA,3706.046,NA,NA,NA,NA,38,
9,145,1887900,NA,3590.564,NA,NA,NA,NA,38,
10,159,2070180,NA,2983.735,NA,NA,NA,NA,35,
11,82,1067640,NA,3899.417,NA,NA,NA,NA,35,
12,102,1328040,NA,3426.207,NA,NA,NA,NA,39,
13,0,0,NA,nan,NA,NA,NA,NA,36,ZERO-CELL (tokens attributed elsewhere; use --dynamic)
14,55,716100,NA,1500.138,NA,NA,NA,NA,34,
15,87,1132740,NA,4633.215,NA,NA,NA,NA,39,
16,100,1302000,NA,2311.287,NA,NA,NA,NA,35,
17,154,2005080,NA,1993.766,NA,NA,NA,NA,30,
18,43,559860,NA,4188.621,NA,NA,NA,NA,32,
19,111,1445220,NA,2927.005,NA,NA,NA,NA,37,
20,46,598920,NA,2917.208,NA,NA,NA,NA,34,
21,121,1575420,NA,1311.407,NA,NA,NA,NA,37,
22,102,1328040,NA,4498.003,NA,NA,NA,NA,39,
23,68,885360,NA,4656.990,NA,NA,NA,NA,40,
24,76,989520,NA,3834.364,NA,NA,NA,NA,37,
25,110,1432200,NA,1250.848,NA,NA,NA,NA,35,
26,83,1080660,NA,4750.718,NA,NA,NA,NA,40,
27,212,2760240,NA,1068.530,NA,NA,NA,NA,32,
28,27,351540,NA,2867.768,NA,NA,NA,NA,34,
29,87,1132740,NA,3682.460,NA,NA,NA,NA,38,
30,27,351540,NA,4278.088,NA,NA,NA,NA,38,
31,58,755160,NA,4314.209,NA,NA,NA,NA,38,
32,51,664020,NA,2670.329,NA,NA,NA,NA,36,
33,126,1640520,NA,3429.438,NA,NA,NA,NA,37,
34,70,911400,NA,2865.076,NA,NA,NA,NA,36,
35,145,1887900,NA,1481.943,NA,NA,NA,NA,34,
36,1,13020,NA,2940.485,NA,NA,NA,NA,36,
37,56,729120,NA,3407.650,NA,NA,NA,NA,40,
38,33,429660,NA,4306.819,NA,NA,NA,NA,40,
39,176,2291520,NA,3469.642,NA,NA,NA,NA,33,
40,45,585900,NA,4850.850,NA,NA,NA,NA,39,
41,7,91140,NA,3610.087,NA,NA,NA,NA,33,
42,182,2369640,NA,3150.113,NA,NA,NA,NA,36,
43,120,1562400,NA,3837.214,NA,NA,NA,NA,30,
44,70,911400,NA,3569.858,NA,NA,NA,NA,38,
45,96,1249920,NA,4111.193,NA,NA,NA,NA,38,
46,89,1158780,NA,2447.274,NA,NA,NA,NA,38,
47,70,911400,NA,3547.027,NA,NA,NA,NA,38,
48,101,1315020,NA,4712.307,NA,NA,NA,NA,39,
49,52,677040,NA,2390.012,NA,NA,NA,NA,34,
50,208,2708160,NA,2829.234,NA,NA,NA,NA,29,
51,69,898380,NA,2911.640,NA,NA,NA,NA,37,
52,89,1158780,NA,4088.912,NA,NA,NA,NA,34,
53,90,1171800,NA,4193.952,NA,NA,NA,NA,38,
54,47,611940,NA,4993.350,NA,NA,NA,NA,39,
55,41,533820,NA,3079.220,NA,NA,NA,NA,34,
56,132,1718640,NA,1666.659,NA,NA,NA,NA,34,
57,24,312480,NA,3420.354,NA,NA,NA,NA,38,
58,115,1497300,NA,3029.142,NA,NA,NA,NA,37,
59,125,1627500,NA,3109.464,NA,NA,NA,NA,35,
60,111,1445220,NA,3385.242,NA,NA,NA,NA,37,
61,147,1913940,NA,3027.121,NA,NA,NA,NA,37,
62,50,651000,NA,3771.066,NA,NA,NA,NA,36,
63,46,598920,NA,3366.703,NA,NA,NA,NA,36,
64,45,585900,NA,4307.729,NA,NA,NA,NA,38,
65,179,2330580,NA,3532.739,NA,NA,NA,NA,38,
66,209,2721180,NA,560.319,NA,NA,NA,NA,31,
67,171,2226420,NA,3615.062,NA,NA,NA,NA,38,
68,101,1315020,NA,2748.413,NA,NA,NA,NA,37,
69,73,950460,NA,3875.388,NA,NA,NA,NA,37,
70,215,2799300,NA,4178.684,NA,NA,NA,NA,34,
71,127,1653540,NA,3970.623,NA,NA,NA,NA,38,
72,61,794220,NA,4017.304,NA,NA,NA,NA,40,
73,71,924420,NA,4625.929,NA,NA,NA,NA,38,
74,170,2213400,NA,1646.663,NA,NA,NA,NA,34,
75,117,1523340,NA,3903.332,NA,NA,NA,NA,39,
76,120,1562400,NA,3075.283,NA,NA,NA,NA,33,
77,59,768180,NA,693.030,NA,NA,NA,NA,32,
78,153,1992060,NA,3451.508,NA,NA,NA,NA,29,
79,42,546840,NA,3463.615,NA,NA,NA,NA,38,
80,101,1315020,NA,1455.569,NA,NA,NA,NA,35,
81,76,989520,NA,2733.970,NA,NA,NA,NA,36,
82,143,1861860,NA,3580.558,NA,NA,NA,NA,37,
83,149,1939980,NA,3470.467,NA,NA,NA,NA,31,
84,91,1184820,NA,4677.684,NA,NA,NA,NA,38,
85,150,1953000,NA,2805.050,NA,NA,NA,NA,39,
86,166,2161320,NA,2860.613,NA,NA,NA,NA,38,
87,70,911400,NA,2654.697,NA,NA,NA,NA,36,
88,138,1796760,NA,3360.706,NA,NA,NA,NA,34,
89,116,1510320,NA,2404.111,NA,NA,NA,NA,37,
90,116,1510320,NA,2084.138,NA,NA,NA,NA,35,
91,75,976500,NA,3589.661,NA,NA,NA,NA,37,
92,46,598920,NA,3790.718,NA,NA,NA,NA,40,
93,136,1770720,NA,2132.760,NA,NA,NA,NA,30,
94,17,221340,NA,3406.283,NA,NA,NA,NA,29,
95,130,1692600,NA,3567.438,NA,NA,NA,NA,36,
96,58,755160,NA,2831.814,NA,NA,NA,NA,37,
97,80,1041600,NA,4294.511,NA,NA,NA,NA,39,
98,0,0,NA,nan,NA,NA,NA,NA,31,ZERO-CELL (tokens attributed elsewhere; use --dynamic)
99,45,585900,NA,3767.688,NA,NA,NA,NA,38,
100,73,950460,NA,4198.963,NA,NA,NA,NA,38,
101,83,1080660,NA,4845.858,NA,NA,NA,NA,38,
102,53,690060,NA,4102.962,NA,NA,NA,NA,37,
103,66,859320,NA,3673.161,NA,NA,NA,NA,39,
104,87,1132740,NA,4539.655,NA,NA,NA,NA,38,
105,126,1640520,NA,4966.412,NA,NA,NA,NA,39,
106,40,520800,NA,3473.707,NA,NA,NA,NA,39,
107,135,1757700,NA,2836.684,NA,NA,NA,NA,33,
108,85,1106700,NA,4055.025,NA,NA,NA,NA,38,
109,41,533820,NA,3590.908,NA,NA,NA,NA,38,
110,114,1484280,NA,2696.039,NA,NA,NA,NA,38,
111,19,247380,NA,3900.254,NA,NA,NA,NA,29,
112,56,729120,NA,3487.956,NA,NA,NA,NA,40,
113,96,1249920,NA,2998.849,NA,NA,NA,NA,28,
114,171,2226420,NA,2524.787,NA,NA,NA,NA,39,
115,118,1536360,NA,3773.650,NA,NA,NA,NA,36,
116,42,546840,NA,3410.176,NA,NA,NA,NA,37,
117,211,2747220,NA,3062.991,NA,NA,NA,NA,38,
118,68,885360,NA,4326.211,NA,NA,NA,NA,40,
119,192,2499840,NA,3566.296,NA,NA,NA,NA,32,
120,90,1171800,NA,3104.754,NA,NA,NA,NA,39,
121,141,1835820,NA,2853.849,NA,NA,NA,NA,32,
122,3,39060,NA,2951.915,NA,NA,NA,NA,33,
123,96,1249920,NA,1811.316,NA,NA,NA,NA,31,
124,71,924420,NA,2732.543,NA,NA,NA,NA,36,
