source_idx,datetime,month,hour,h_t,skill_t,s_hard,s_rare,s_div,s_skill,composite,w_final
0,2014-01-01T00:00:00.000,1,0,2967.84,NA,0.043,0.009,0.701,NA,0.251,0.487
1,2014-01-01T06:00:00.000,1,1,3084.48,NA,0.265,0.021,0.483,NA,0.256,0.493
2,2014-01-01T12:00:00.000,1,2,3018.99,NA,0.105,0.016,0.483,NA,0.201,0.433
3,2014-01-01T18:00:00.000,1,3,3041.68,NA,0.150,0.020,0.658,NA,0.276,0.518
4,2014-01-02T00:00:00.000,1,0,2956.91,NA,0.034,0.031,0.791,NA,0.285,0.530
5,2014-01-02T06:00:00.000,1,1,3089.73,NA,0.282,0.026,0.646,NA,0.318,0.576
6,2014-01-02T12:00:00.000,1,2,3042.24,NA,0.151,0.024,0.341,NA,0.172,0.407
7,2014-01-02T18:00:00.000,1,3,3087.73,NA,0.274,0.050,0.011,NA,0.112,0.367
8,2014-01-03T00:00:00.000,1,0,3002.17,NA,0.080,0.086,0.011,NA,0.059,0.346
9,2014-01-03T06:00:00.000,1,1,3133.05,NA,0.439,0.050,0.464,NA,0.317,0.576
10,2014-01-03T12:00:00.000,1,2,3079.50,NA,0.249,0.017,0.438,NA,0.235,0.468
11,2014-01-03T18:00:00.000,1,3,3168.33,NA,0.578,0.050,0.438,NA,0.355,0.636
12,2014-01-04T00:00:00.000,1,0,3075.91,NA,0.239,0.069,0.249,NA,0.186,0.419
13,2014-01-04T06:00:00.000,1,1,3201.17,NA,0.691,0.108,0.249,NA,0.349,0.626
14,2014-01-04T12:00:00.000,1,2,3121.38,NA,0.393,0.119,0.573,NA,0.362,0.647
15,2014-01-04T18:00:00.000,1,3,3143.26,NA,0.477,0.165,0.782,NA,0.475,0.870
16,2014-01-05T00:00:00.000,1,0,3048.20,NA,0.166,0.137,0.782,NA,0.362,0.647
17,2014-01-05T06:00:00.000,1,1,3170.19,NA,0.587,0.141,0.914,NA,0.547,1.046
18,2014-01-05T12:00:00.000,1,2,3096.26,NA,0.305,0.060,0.727,NA,0.364,0.651
19,2014-01-05T18:00:00.000,1,3,3129.74,NA,0.424,0.036,0.674,NA,0.378,0.676
20,2014-01-06T00:00:00.000,1,0,3017.86,NA,0.103,0.055,0.243,NA,0.133,0.380
21,2014-01-06T06:00:00.000,1,1,3081.77,NA,0.256,0.050,0.243,NA,0.183,0.417
22,2014-01-06T12:00:00.000,1,2,3008.55,NA,0.090,0.083,0.199,NA,0.124,0.374
23,2014-01-06T18:00:00.000,1,3,3069.48,NA,0.220,0.054,0.199,NA,0.158,0.396
24,2014-01-07T00:00:00.000,1,0,2970.66,NA,0.046,0.126,0.829,NA,0.333,0.600
25,2014-01-07T06:00:00.000,1,1,3093.04,NA,0.293,0.113,0.783,NA,0.397,0.709
26,2014-01-07T12:00:00.000,1,2,3076.79,NA,0.242,0.126,0.781,NA,0.383,0.684
27,2014-01-07T18:00:00.000,1,3,3118.35,NA,0.383,0.113,0.298,NA,0.264,0.503
28,2014-01-08T00:00:00.000,1,0,3025.61,NA,0.117,0.126,0.241,NA,0.161,0.399
29,2014-01-08T06:00:00.000,1,1,3113.12,NA,0.364,0.161,0.241,NA,0.255,0.492
30,2014-01-08T12:00:00.000,1,2,3048.31,NA,0.166,0.165,0.743,NA,0.358,0.641
31,2014-01-08T18:00:00.000,1,3,3075.92,NA,0.239,0.152,0.613,NA,0.335,0.603
32,2014-01-09T00:00:00.000,1,0,3004.59,NA,0.084,0.184,0.513,NA,0.260,0.498
33,2014-01-09T06:00:00.000,1,1,3131.58,NA,0.432,0.217,0.513,NA,0.387,0.692
34,2014-01-09T12:00:00.000,1,2,3063.97,NA,0.205,0.217,0.634,NA,0.352,0.630
35,2014-01-09T18:00:00.000,1,3,3074.51,NA,0.234,0.146,0.701,NA,0.360,0.644
36,2014-01-10T00:00:00.000,1,0,2995.41,NA,0.071,0.187,0.701,NA,0.320,0.579
37,2014-01-10T06:00:00.000,1,1,3120.83,NA,0.391,0.181,0.714,NA,0.429,0.772
38,2014-01-10T12:00:00.000,1,2,3069.22,NA,0.220,0.142,0.841,NA,0.401,0.718
39,2014-01-10T18:00:00.000,1,3,3110.85,NA,0.356,0.081,0.561,NA,0.333,0.599
40,2014-01-11T00:00:00.000,1,0,3024.91,NA,0.115,0.122,0.561,NA,0.266,0.505
41,2014-01-11T06:00:00.000,1,1,3157.28,NA,0.532,0.057,0.703,NA,0.431,0.776
42,2014-01-11T12:00:00.000,1,2,3109.30,NA,0.350,0.025,0.948,NA,0.441,0.797
43,2014-01-11T18:00:00.000,1,3,3153.48,NA,0.517,0.013,0.038,NA,0.189,0.422
44,2014-01-12T00:00:00.000,1,0,3059.62,NA,0.193,0.019,0.038,NA,0.083,0.354
45,2014-01-12T06:00:00.000,1,1,3164.66,NA,0.564,0.010,0.279,NA,0.285,0.529
46,2014-01-12T12:00:00.000,1,2,3088.09,NA,0.275,0.025,0.279,NA,0.193,0.426
47,2014-01-12T18:00:00.000,1,3,3118.63,NA,0.384,0.034,0.843,NA,0.420,0.755
48,2014-01-13T00:00:00.000,1,0,3061.60,NA,0.198,0.061,0.843,NA,0.368,0.657
49,2014-01-13T06:00:00.000,1,1,3180.26,NA,0.619,0.105,0.799,NA,0.508,0.947
50,2014-01-13T12:00:00.000,1,2,3111.73,NA,0.359,0.087,0.799,NA,0.415,0.745
51,2014-01-13T18:00:00.000,1,3,3148.30,NA,0.494,0.083,0.389,NA,0.322,0.583
52,2014-01-14T00:00:00.000,1,0,3056.57,NA,0.186,0.052,0.389,NA,0.209,0.441
53,2014-01-14T06:00:00.000,1,1,3137.92,NA,0.457,0.094,0.853,NA,0.468,0.855
54,2014-01-14T12:00:00.000,1,2,3039.92,NA,0.145,0.120,0.868,NA,0.378,0.675
55,2014-01-14T18:00:00.000,1,3,3049.59,NA,0.168,0.088,0.229,NA,0.162,0.400
56,2014-01-15T00:00:00.000,1,0,2967.65,NA,0.043,0.102,0.229,NA,0.125,0.374
57,2014-01-15T06:00:00.000,1,1,3091.30,NA,0.287,0.086,0.729,NA,0.368,0.657
58,2014-01-15T12:00:00.000,1,2,3068.91,NA,0.219,0.074,0.459,NA,0.251,0.486
59,2014-01-15T18:00:00.000,1,3,3117.81,NA,0.381,0.030,0.460,NA,0.290,0.537
60,2014-01-16T00:00:00.000,1,0,3012.00,NA,0.095,0.018,0.470,NA,0.194,0.427
61,2014-01-16T06:00:00.000,1,1,3084.86,NA,0.266,0.028,0.470,NA,0.255,0.491
62,2014-01-16T12:00:00.000,1,2,3018.60,NA,0.104,0.036,0.412,NA,0.184,0.418
63,2014-01-16T18:00:00.000,1,3,3075.79,NA,0.239,0.009,0.310,NA,0.186,0.419
64,2014-01-17T00:00:00.000,1,0,2982.33,NA,0.056,0.018,0.310,NA,0.128,0.376
65,2014-01-17T06:00:00.000,1,1,3085.55,NA,0.268,0.019,0.647,NA,0.311,0.567
66,2014-01-17T12:00:00.000,1,2,2994.51,NA,0.070,0.008,0.277,NA,0.118,0.371
67,2014-01-17T18:00:00.000,1,3,3047.39,NA,0.163,0.007,0.277,NA,0.149,0.390
68,2014-01-18T00:00:00.000,1,0,2961.53,NA,0.038,0.002,0.222,NA,0.087,0.356
69,2014-01-18T06:00:00.000,1,1,3070.61,NA,0.223,0.003,0.097,NA,0.108,0.365
70,2014-01-18T12:00:00.000,1,2,3024.32,NA,0.115,0.001,0.097,NA,0.071,0.350
71,2014-01-18T18:00:00.000,1,3,3066.11,NA,0.211,0.002,0.211,NA,0.141,0.385
72,2014-01-19T00:00:00.000,1,0,2978.25,NA,0.053,0.002,0.211,NA,0.088,0.356
73,2014-01-19T06:00:00.000,1,1,3083.19,NA,0.261,0.002,0.232,NA,0.165,0.402
74,2014-01-19T12:00:00.000,1,2,3049.73,NA,0.169,0.002,0.509,NA,0.227,0.459
75,2014-01-19T18:00:00.000,1,3,3096.13,NA,0.305,0.001,0.445,NA,0.250,0.486
76,2014-01-20T00:00:00.000,1,0,3002.41,NA,0.081,0.009,0.445,NA,0.178,0.413
77,2014-01-20T06:00:00.000,1,1,3103.75,NA,0.331,0.020,0.200,NA,0.184,0.417
78,2014-01-20T12:00:00.000,1,2,3015.36,NA,0.100,0.012,0.200,NA,0.104,0.363
79,2014-01-20T18:00:00.000,1,3,3029.45,NA,0.124,0.006,0.286,NA,0.139,0.383
80,2014-01-21T00:00:00.000,1,0,2935.96,NA,0.023,0.018,0.538,NA,0.193,0.426
81,2014-01-21T06:00:00.000,1,1,3059.81,NA,0.194,0.014,0.556,NA,0.255,0.491
82,2014-01-21T12:00:00.000,1,2,2991.85,NA,0.067,0.045,0.441,NA,0.184,0.418
83,2014-01-21T18:00:00.000,1,3,3022.18,NA,0.111,0.025,0.441,NA,0.192,0.425
84,2014-01-22T00:00:00.000,1,0,2927.32,NA,0.020,0.110,0.447,NA,0.192,0.425
85,2014-01-22T06:00:00.000,1,1,3046.84,NA,0.161,0.079,0.447,NA,0.229,0.462
86,2014-01-22T12:00:00.000,1,2,2983.10,NA,0.057,0.060,0.337,NA,0.151,0.392
87,2014-01-22T18:00:00.000,1,3,3018.93,NA,0.105,0.020,0.337,NA,0.154,0.394
88,2014-01-23T00:00:00.000,1,0,2921.46,NA,0.017,0.026,0.445,NA,0.163,0.400
89,2014-01-23T06:00:00.000,1,1,3033.45,NA,0.132,0.085,0.704,NA,0.307,0.560
90,2014-01-23T12:00:00.000,1,2,3010.70,NA,0.094,0.090,0.419,NA,0.201,0.433
91,2014-01-23T18:00:00.000,1,3,3089.64,NA,0.281,0.034,0.419,NA,0.245,0.479
92,2014-01-24T00:00:00.000,1,0,3045.14,NA,0.158,0.015,0.736,NA,0.303,0.554
93,2014-01-24T06:00:00.000,1,1,3188.68,NA,0.648,0.059,0.410,NA,0.372,0.665
94,2014-01-24T12:00:00.000,1,2,3133.44,NA,0.440,0.070,0.409,NA,0.307,0.560
95,2014-01-24T18:00:00.000,1,3,3203.31,NA,0.698,0.038,0.201,NA,0.312,0.568
96,2014-01-25T00:00:00.000,1,0,3133.03,NA,0.438,0.040,0.201,NA,0.226,0.459
97,2014-01-25T06:00:00.000,1,1,3270.45,NA,0.873,0.024,0.062,NA,0.320,0.579
98,2014-01-25T12:00:00.000,1,2,3198.36,NA,0.682,0.014,0.062,NA,0.253,0.489
99,2014-01-25T18:00:00.000,1,3,3233.00,NA,0.787,0.013,0.987,NA,0.595,1.176
100,2014-01-26T00:00:00.000,1,0,3130.04,NA,0.425,0.018,0.465,NA,0.303,0.554
101,2014-01-26T06:00:00.000,1,1,3237.71,NA,0.800,0.007,0.465,NA,0.424,0.763
102,2014-01-26T12:00:00.000,1,2,3152.53,NA,0.513,0.014,0.531,NA,0.353,0.632
103,2014-01-26T18:00:00.000,1,3,3171.39,NA,0.591,0.008,0.531,NA,0.377,0.673
104,2014-01-27T00:00:00.000,1,0,3088.16,NA,0.276,0.005,0.456,NA,0.245,0.480
