group,key,n,mean_ps,skill
by_hour,0,3255,3085.16,NA
by_hour,1,3255,3203.06,NA
by_hour,2,3255,3136.74,NA
by_hour,3,3255,3173.39,NA
by_month,1,1116,3053.62,NA
by_month,2,1016,3073.35,NA
by_month,3,1116,3184.79,NA
by_month,4,1080,3240.98,NA
by_month,5,1116,3247.06,NA
by_month,6,1080,3171.66,NA
by_month,7,1116,3122.35,NA
by_month,8,1116,3112.41,NA
by_month,9,1080,3168.55,NA
by_month,10,1116,3164.35,NA
by_month,11,1076,3142.15,NA
by_month,12,992,3106.10,NA
by_year,2014,1460,3155.55,NA
by_year,2015,1460,3132.40,NA
by_year,2016,1464,3177.96,NA
by_year,2017,1460,3153.01,NA
by_year,2018,1460,3124.26,NA
by_year,2019,1460,3178.91,NA
by_year,2020,1464,3173.53,NA
by_year,2021,1460,3125.78,NA
by_year,2022,1332,3122.37,NA
