[io] 13021 files -> 13020 transitions (key=idx)
  [500/13020] 9.3 trans/s  running mean=3170.3
  [1000/13020] 9.3 trans/s  running mean=3161.0
  [1500/13020] 9.3 trans/s  running mean=3151.0
  [2000/13020] 9.2 trans/s  running mean=3146.9
  [2500/13020] 9.2 trans/s  running mean=3140.2
  [3000/13020] 9.3 trans/s  running mean=3143.7
  [3500/13020] 9.2 trans/s  running mean=3156.8
  [4000/13020] 9.3 trans/s  running mean=3156.6
  [4500/13020] 9.4 trans/s  running mean=3153.1
  [5000/13020] 9.4 trans/s  running mean=3156.4
  [5500/13020] 9.4 trans/s  running mean=3157.9
  [6000/13020] 9.3 trans/s  running mean=3150.4
  [6500/13020] 9.3 trans/s  running mean=3152.1
  [7000/13020] 9.3 trans/s  running mean=3149.0
  [7500/13020] 9.3 trans/s  running mean=3147.3
  [8000/13020] 9.4 trans/s  running mean=3153.2
  [8500/13020] 9.4 trans/s  running mean=3153.7
  [9000/13020] 9.4 trans/s  running mean=3152.0
  [9500/13020] 9.4 trans/s  running mean=3156.6
  [10000/13020] 9.4 trans/s  running mean=3157.4
  [10500/13020] 9.4 trans/s  running mean=3152.8
  [11000/13020] 9.4 trans/s  running mean=3154.3
  [11500/13020] 9.4 trans/s  running mean=3153.8
  [12000/13020] 9.4 trans/s  running mean=3150.0
  [12500/13020] 9.4 trans/s  running mean=3151.0
  [13000/13020] 9.3 trans/s  running mean=3149.7
[done] 13020 transitions in 23.3 min; mean per-cell persistence err=3149.589
[write] persistence/v6/{err_persist.npy,meta.json}
