cluster,tokens,share,margin_mean,near_frac,runner_up,runner_up_frac
0,1157040,0.007231,0.6543,0.0146,37,0.4169
1,1698607,0.010616,0.1083,0.5523,114,0.1885
2,587878,0.003674,0.6493,0.0225,77,0.2947
3,728641,0.004554,0.2739,0.2217,78,0.2687
4,1261551,0.007885,0.1702,0.3211,119,0.3178
5,1401319,0.008758,0.1268,0.4964,116,0.2618
6,1348407,0.008427,0.3380,0.0908,122,0.3437
7,726348,0.004540,0.2921,0.1861,86,0.3869
8,653517,0.004084,0.2708,0.1855,52,0.1904
9,726957,0.004543,0.4457,0.0394,107,0.2991
10,1642382,0.010265,0.4427,0.0434,67,0.4177
11,1206254,0.007539,0.1880,0.2986,49,0.2106
12,1379812,0.008624,0.7946,0.0043,47,0.2870
13,972068,0.006075,0.5933,0.0336,36,0.1874
14,1712666,0.010704,0.0964,0.5876,95,0.1912
15,1158468,0.007240,0.7138,0.0013,113,0.5217
16,969853,0.006062,0.1427,0.4754,124,0.2605
17,1798380,0.011240,0.1055,0.5777,101,0.2099
18,1754598,0.010966,0.0932,0.6376,112,0.2511
19,1220084,0.007625,0.6805,0.0111,12,0.1862
20,1663341,0.010396,0.2053,0.3489,97,0.2650
21,1872120,0.011701,0.1126,0.5304,34,0.2347
22,1426360,0.008915,0.1367,0.4463,68,0.3004
23,1825219,0.011407,0.0929,0.6039,106,0.1899
24,765604,0.004785,1.0646,0.0111,46,0.5515
25,1043196,0.006520,0.5529,0.0084,6,0.4514
26,1010227,0.006314,0.2498,0.1872,31,0.6011
27,1734405,0.010840,0.2068,0.3420,110,0.1750
28,988097,0.006176,0.6407,0.0037,80,0.3553
29,860403,0.005377,0.1469,0.4783,5,0.1808
30,959934,0.006000,0.2276,0.1843,125,0.3322
31,1380484,0.008628,0.2265,0.1911,98,0.4017
32,744094,0.004651,0.3151,0.1837,50,0.2576
33,2049131,0.012807,1.0551,0.0047,37,0.6545
34,1253281,0.007833,0.1394,0.5012,21,0.3043
35,1472645,0.009204,0.1060,0.5689,79,0.2755
36,1508304,0.009427,0.4647,0.0277,91,0.1633
37,931169,0.005820,1.0379,0.0147,0,0.5044
38,598894,0.003743,0.4066,0.0875,92,0.2998
39,1105295,0.006908,0.6758,0.0052,28,0.1728
40,736874,0.004605,0.3161,0.1223,92,0.1909
41,2091336,0.013071,0.1411,0.4355,35,0.1748
42,1399861,0.008749,0.3046,0.1204,108,0.3133
43,1923579,0.012022,0.1261,0.4188,60,0.3676
44,1202520,0.007516,0.2183,0.2347,107,0.1567
45,795409,0.004971,0.3588,0.1328,103,0.1486
46,654195,0.004089,0.5827,0.0183,76,0.3699
47,982483,0.006140,0.5023,0.0698,12,0.1018
48,993772,0.006211,0.9876,0.0040,111,0.4101
49,1741555,0.010885,0.1329,0.4607,118,0.2794
50,983331,0.006146,0.2215,0.3593,119,0.1634
51,839378,0.005246,0.2096,0.3032,121,0.2967
52,647866,0.004049,0.1765,0.3747,54,0.2297
53,780517,0.004878,0.2950,0.2018,124,0.1579
54,1440093,0.009000,0.1171,0.5070,5,0.2015
55,961659,0.006010,0.2479,0.1930,82,0.4126
56,1173470,0.007334,0.6991,0.0644,105,0.2261
57,669754,0.004186,0.3692,0.1555,95,0.2606
58,1512147,0.009451,0.2128,0.2383,108,0.3427
59,735967,0.004600,0.4289,0.0733,107,0.2045
60,1791860,0.011199,0.1360,0.4016,43,0.4072
61,933115,0.005832,0.2222,0.2146,116,0.1808
62,2049912,0.012812,0.1301,0.4691,119,0.2783
63,972600,0.006079,0.1850,0.3311,99,0.2424
64,670566,0.004191,0.4293,0.0525,125,0.1934
65,1024029,0.006400,0.4947,0.0216,93,0.1994
66,885938,0.005537,0.4237,0.0795,44,0.1951
67,1166714,0.007292,0.5824,0.0097,10,0.4019
68,2810654,0.017566,0.1108,0.5251,22,0.2518
69,484588,0.003029,0.5121,0.0437,77,0.2538
70,1122911,0.007018,0.1539,0.4638,85,0.2320
