file_id,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
0,0.007243,0.011637,0.003743,0.004801,0.006429,0.010905,0.008464,0.000000,0.004639,0.004476,0.010335,0.005941,0.008626,0.006104,0.013509,0.007243,0.014404,0.013428,0.009115,0.007650,0.021973,0.024658,0.008789,0.009766,0.004720,0.006592,0.011312,0.006185,0.006185,0.011068,0.006104,0.008626,0.004069,0.012777,0.006836,0.000895,0.009196,0.005859,0.003988,0.006917,0.005534,0.000000,0.008301,0.011882,0.008057,0.004964,0.004069,0.006429,0.006185,0.005208,0.003662,0.004720,0.006673,0.003418,0.018392,0.000081,0.006917,0.001953,0.009115,0.004476,0.012777,0.006022,0.012126,0.005859,0.004313,0.006429,0.005615,0.007243,0.012207,0.003011,0.002523,0.004639,0.006673,0.001302,0.011882,0.007487,0.004069,0.006104,0.006917,0.006348,0.006104,0.006836,0.004557,0.007487,0.010742,0.001139,0.000000,0.003418,0.006185,0.013916,0.011068,0.006592,0.006836,0.005534,0.005697,0.004720,0.006185,0.011149,0.008952,0.003174,0.014974,0.014323,0.004964,0.006266,0.004150,0.009603,0.018555,0.005534,0.008708,0.008708,0.015869,0.008952,0.017904,0.006510,0.016439,0.004720,0.007894,0.009847,0.009277,0.013021,0.008708,0.006022,0.010417,0.004964,0.021240,0.010091,0.005941,0.007324
1,0.007243,0.011149,0.003825,0.004801,0.006673,0.010417,0.008382,0.000000,0.004476,0.004476,0.010254,0.006185,0.008626,0.006185,0.013346,0.007243,0.013184,0.012777,0.009603,0.007568,0.022380,0.025553,0.009847,0.011882,0.004639,0.006510,0.011393,0.006429,0.006185,0.010905,0.005778,0.008870,0.004557,0.012777,0.007487,0.001058,0.009359,0.005859,0.003906,0.006917,0.005208,0.000163,0.008464,0.011719,0.007650,0.004883,0.004069,0.006510,0.006185,0.005615,0.003662,0.004801,0.006185,0.003906,0.018636,0.000000,0.006999,0.001872,0.009196,0.004557,0.012858,0.006022,0.012370,0.006348,0.004232,0.006429,0.005778,0.007324,0.011637,0.002930,0.003499,0.004801,0.006836,0.001302,0.011637,0.007487,0.004069,0.005941,0.007731,0.006266,0.006104,0.007406,0.004720,0.007487,0.010173,0.000895,0.000000,0.003662,0.006185,0.012451,0.011637,0.006673,0.007080,0.005615,0.005290,0.004313,0.006185,0.010498,0.008382,0.003337,0.014567,0.013753,0.005290,0.005290,0.004069,0.009196,0.018229,0.005371,0.008952,0.007487,0.014567,0.008952,0.016439,0.006510,0.018066,0.004801,0.008138,0.009766,0.008870,0.012614,0.009277,0.006510,0.010335,0.005208,0.021077,0.010824,0.005208,0.008057
2,0.007243,0.011068,0.003662,0.004883,0.007568,0.010254,0.008138,0.000000,0.004313,0.004557,0.010335,0.006348,0.008626,0.006185,0.011882,0.007243,0.013509,0.013265,0.010824,0.007650,0.022217,0.025798,0.008382,0.010173,0.004720,0.006510,0.012126,0.006185,0.006185,0.010498,0.005941,0.008545,0.005046,0.012614,0.007161,0.001058,0.009521,0.005859,0.003825,0.006917,0.005208,0.000244,0.008219,0.011637,0.007894,0.004720,0.004069,0.006348,0.006185,0.004964,0.003743,0.004639,0.005941,0.003906,0.017253,0.000081,0.006917,0.002116,0.009277,0.004964,0.012858,0.006266,0.012695,0.006185,0.004232,0.006510,0.005778,0.007406,0.011719,0.003092,0.004313,0.005371,0.006999,0.001302,0.011800,0.007487,0.004069,0.006104,0.006673,0.007324,0.006104,0.007161,0.004801,0.007487,0.010335,0.000651,0.000000,0.003337,0.006185,0.012288,0.010498,0.006592,0.006917,0.005615,0.005208,0.004069,0.006185,0.010010,0.008219,0.003092,0.014079,0.014974,0.004639,0.005778,0.004069,0.009196,0.018962,0.005697,0.009115,0.008952,0.013590,0.008952,0.017741,0.006510,0.018473,0.004720,0.006999,0.009684,0.009766,0.011637,0.009115,0.007080,0.010417,0.004720,0.022542,0.011068,0.005208,0.008219
3,0.007161,0.011963,0.003662,0.004964,0.006917,0.010010,0.008464,0.000000,0.004720,0.004639,0.010335,0.006104,0.008626,0.006185,0.011719,0.007243,0.012614,0.012370,0.012614,0.007650,0.022054,0.026123,0.008952,0.011393,0.004801,0.006510,0.012207,0.006266,0.006185,0.010254,0.005371,0.008626,0.005290,0.012695,0.007161,0.000895,0.009521,0.005941,0.003581,0.006917,0.005127,0.000244,0.008545,0.011637,0.008138,0.004964,0.004069,0.006510,0.006185,0.004639,0.003418,0.003988,0.005697,0.004150,0.018962,0.000000,0.006917,0.001953,0.008708,0.004883,0.011800,0.006510,0.012451,0.006266,0.004313,0.006510,0.005778,0.007243,0.012451,0.002930,0.005778,0.004964,0.006917,0.001058,0.011475,0.007487,0.004069,0.005941,0.006755,0.007487,0.006104,0.007324,0.004720,0.007487,0.010091,0.000326,0.000000,0.003825,0.006185,0.011963,0.010335,0.006429,0.007324,0.005452,0.005615,0.003988,0.006185,0.010986,0.008301,0.003337,0.013753,0.015218,0.004313,0.004476,0.003988,0.009277,0.017334,0.005615,0.008789,0.007650,0.014486,0.008952,0.015625,0.006510,0.019450,0.004801,0.007080,0.009766,0.009277,0.012288,0.008870,0.005941,0.010417,0.005452,0.024170,0.011230,0.005778,0.007894
4,0.007161,0.010986,0.003743,0.005046,0.006999,0.010010,0.008464,0.000000,0.004476,0.004801,0.010254,0.005941,0.008626,0.006185,0.011556,0.007243,0.014079,0.013753,0.013184,0.007650,0.023031,0.025065,0.008708,0.010824,0.004720,0.006510,0.011963,0.005697,0.006185,0.009847,0.005534,0.008708,0.004883,0.012777,0.006836,0.000570,0.009603,0.005941,0.004069,0.006917,0.005371,0.000081,0.009196,0.012614,0.007812,0.004801,0.004069,0.006429,0.006185,0.004069,0.003499,0.004313,0.006348,0.004150,0.019043,0.000000,0.006999,0.001872,0.008626,0.004720,0.011556,0.006266,0.011475,0.006348,0.004150,0.006348,0.005697,0.007324,0.012533,0.002930,0.005941,0.004801,0.006917,0.001302,0.011882,0.007487,0.004069,0.005615,0.007161,0.006917,0.006104,0.006999,0.004395,0.007487,0.008789,0.000570,0.000000,0.003988,0.006185,0.012207,0.010986,0.006348,0.006999,0.005615,0.005615,0.004395,0.006185,0.011068,0.008626,0.003337,0.014079,0.013428,0.004476,0.004232,0.003988,0.009277,0.016520,0.006022,0.008952,0.008382,0.013916,0.008952,0.015218,0.006510,0.019613,0.004476,0.007487,0.009603,0.008708,0.012939,0.008789,0.007080,0.010254,0.006266,0.024495,0.011719,0.005859,0.007406
5,0.007324,0.009115,0.003662,0.005046,0.007406,0.009440,0.008870,0.000000,0.004313,0.004639,0.010335,0.005127,0.008626,0.006185,0.011230,0.007243,0.013753,0.014567,0.013753,0.007650,0.022624,0.025065,0.008626,0.011475,0.004801,0.006510,0.012044,0.005127,0.006185,0.010254,0.005859,0.008219,0.004883,0.012533,0.006999,0.001058,0.009603,0.005941,0.003581,0.006917,0.005371,0.000163,0.008952,0.013509,0.007650,0.004964,0.004069,0.006348,0.006185,0.003906,0.003988,0.004232,0.005452,0.004557,0.019124,0.000000,0.006836,0.001872,0.008382,0.004557,0.011475,0.006185,0.011882,0.006755,0.003906,0.006429,0.005778,0.007324,0.012370,0.002848,0.006999,0.004720,0.007080,0.001139,0.011882,0.007487,0.004069,0.005859,0.006429,0.006999,0.006104,0.007080,0.004476,0.007487,0.007650,0.000163,0.000000,0.003988,0.006185,0.010579,0.011068,0.006510,0.007161,0.005615,0.005697,0.005290,0.006185,0.011963,0.008789,0.003337,0.013835,0.013184,0.004557,0.004069,0.003988,0.009440,0.015625,0.006348,0.009033,0.007650,0.015055,0.008952,0.014730,0.006510,0.021240,0.004801,0.008301,0.009684,0.008789,0.011800,0.008789,0.007731,0.010335,0.006673,0.025146,0.011230,0.004883,0.007975
6,0.007324,0.008870,0.003743,0.004964,0.007975,0.009603,0.008708,0.000000,0.004557,0.004720,0.010335,0.004232,0.008626,0.006185,0.011475,0.007243,0.013102,0.015951,0.012777,0.007650,0.024007,0.024984,0.008789,0.011963,0.004720,0.006510,0.012614,0.004720,0.006185,0.010335,0.006266,0.008138,0.004557,0.012614,0.006836,0.001383,0.009440,0.005859,0.003906,0.006917,0.005452,0.000081,0.008708,0.012695,0.008057,0.004883,0.004069,0.006348,0.006185,0.003499,0.003825,0.004150,0.005859,0.004150,0.016276,0.000000,0.006755,0.002116,0.009277,0.004639,0.011230,0.005859,0.010824,0.006673,0.003988,0.006429,0.005046,0.007324,0.012614,0.002930,0.006429,0.004801,0.006999,0.001058,0.011719,0.007487,0.004069,0.006917,0.006348,0.007650,0.006104,0.007161,0.004232,0.007487,0.008708,0.000163,0.000081,0.003906,0.006185,0.010335,0.011149,0.006185,0.007161,0.005697,0.005778,0.005859,0.006185,0.013184,0.008789,0.003174,0.013590,0.013184,0.004313,0.004801,0.003988,0.009359,0.013672,0.005697,0.008626,0.007975,0.017497,0.008952,0.015137,0.006510,0.019368,0.004557,0.008464,0.009684,0.009359,0.012451,0.008708,0.007650,0.010335,0.006022,0.025716,0.010824,0.005615,0.008219
7,0.007243,0.010661,0.003743,0.004557,0.007894,0.009033,0.008219,0.000000,0.004476,0.004639,0.010254,0.003092,0.008626,0.006022,0.012044,0.007243,0.013428,0.014811,0.012858,0.007650,0.024007,0.025879,0.008464,0.013753,0.004720,0.006510,0.012695,0.004557,0.006185,0.009928,0.006104,0.008545,0.004720,0.012777,0.006104,0.001221,0.009359,0.005859,0.003662,0.006917,0.005208,0.000081,0.008789,0.013509,0.007894,0.004883,0.004069,0.006266,0.006185,0.003499,0.004150,0.004395,0.005941,0.004150,0.015218,0.000081,0.006755,0.001790,0.008382,0.004801,0.012288,0.006592,0.010824,0.006755,0.004313,0.006429,0.004720,0.007324,0.010579,0.003011,0.006673,0.004557,0.006836,0.000977,0.011800,0.007487,0.004150,0.006836,0.006673,0.008219,0.006104,0.007568,0.003906,0.007487,0.007975,0.000326,0.000407,0.003581,0.006185,0.010417,0.011068,0.006592,0.006999,0.005615,0.005615,0.006999,0.006185,0.013997,0.008464,0.003174,0.014242,0.012288,0.004395,0.004232,0.004069,0.009440,0.011963,0.005859,0.009359,0.007487,0.016846,0.008952,0.016357,0.006510,0.018717,0.004639,0.008626,0.009684,0.009440,0.012207,0.008219,0.007812,0.010254,0.006510,0.026693,0.010498,0.006266,0.008219
8,0.007243,0.010173,0.003743,0.004801,0.007324,0.009033,0.008301,0.000000,0.004639,0.004557,0.010254,0.003499,0.008545,0.005941,0.012777,0.007243,0.014079,0.014079,0.013753,0.007731,0.024251,0.025472,0.008626,0.013021,0.004720,0.006510,0.012451,0.004557,0.006185,0.009440,0.006104,0.008789,0.004232,0.012777,0.006429,0.001790,0.009521,0.005859,0.003743,0.006917,0.005127,0.000000,0.008708,0.013021,0.007650,0.004720,0.004069,0.006266,0.006185,0.003499,0.004557,0.004720,0.005859,0.003743,0.015462,0.000163,0.006836,0.001872,0.008545,0.004964,0.011637,0.006755,0.010498,0.006022,0.004476,0.006429,0.005046,0.007324,0.010173,0.002930,0.006836,0.004639,0.006917,0.001139,0.011882,0.007568,0.004069,0.005615,0.007406,0.006999,0.006104,0.007650,0.004069,0.007406,0.007650,0.000570,0.000163,0.003418,0.006185,0.009033,0.010579,0.006185,0.007080,0.005697,0.005452,0.006348,0.006185,0.013590,0.008545,0.003174,0.013509,0.012939,0.004313,0.005615,0.003988,0.009196,0.013672,0.005615,0.009277,0.008708,0.015544,0.008952,0.017497,0.006510,0.018880,0.004557,0.008952,0.009603,0.008626,0.013265,0.008138,0.008626,0.010173,0.006673,0.027018,0.011068,0.006510,0.008057
9,0.007243,0.010010,0.003743,0.004883,0.007975,0.008870,0.008464,0.000000,0.004720,0.004639,0.010335,0.004232,0.008545,0.006022,0.012939,0.007243,0.014160,0.012777,0.012939,0.007650,0.024089,0.025716,0.008057,0.013428,0.004720,0.006510,0.012533,0.005371,0.006185,0.009928,0.006104,0.008870,0.003988,0.012695,0.006104,0.001872,0.009440,0.005859,0.003825,0.006917,0.005208,0.000081,0.008464,0.013102,0.008057,0.004801,0.004069,0.006266,0.006185,0.002848,0.004150,0.004720,0.005697,0.003662,0.015869,0.000081,0.006836,0.001953,0.008382,0.004883,0.012207,0.006348,0.009603,0.006185,0.004313,0.006429,0.005046,0.007324,0.010905,0.002930,0.007080,0.005046,0.006917,0.001139,0.012044,0.007487,0.004069,0.005534,0.006999,0.007731,0.006104,0.007243,0.003906,0.007487,0.007324,0.000977,0.000570,0.003662,0.006185,0.009115,0.010173,0.006104,0.006999,0.005778,0.005290,0.006104,0.006185,0.013021,0.008382,0.003337,0.013997,0.011312,0.004720,0.005697,0.004150,0.009196,0.013428,0.006022,0.009521,0.008464,0.015055,0.008952,0.017171,0.006510,0.018555,0.004639,0.009440,0.009521,0.008708,0.012288,0.009603,0.009440,0.010254,0.006755,0.026774,0.010986,0.006510,0.008138
