file_id,idx,datetime_utc,year,month,day,hour_utc,dom_cluster,dom_frac,rare_exposure,mean_residual,residual_frac,mean_total,mean_margin,near_frac
0,0,2014-01-01T00,2014,1,1,0,21,0.0247,0.1451,1879.89,0.3114,6037.78,0.3060,0.2669
1,1,2014-01-01T06,2014,1,1,6,21,0.0256,0.1454,1878.01,0.3117,6024.94,0.3074,0.2628
2,2,2014-01-01T12,2014,1,1,12,21,0.0258,0.1444,1882.32,0.3110,6052.55,0.3073,0.2632
3,3,2014-01-01T18,2014,1,1,18,21,0.0261,0.1446,1876.22,0.3106,6039.87,0.3088,0.2707
4,4,2014-01-02T00,2014,1,2,0,21,0.0251,0.1445,1885.61,0.3108,6066.98,0.3047,0.2731
5,5,2014-01-02T06,2014,1,2,6,124,0.0251,0.1433,1883.12,0.3109,6056.58,0.3068,0.2719
6,6,2014-01-02T12,2014,1,2,12,124,0.0257,0.1434,1893.62,0.3108,6092.39,0.3057,0.2758
7,7,2014-01-02T18,2014,1,2,18,124,0.0267,0.1423,1885.61,0.3104,6074.57,0.3089,0.2686
8,8,2014-01-03T00,2014,1,3,0,124,0.0270,0.1418,1896.29,0.3100,6116.11,0.3056,0.2759
9,9,2014-01-03T06,2014,1,3,6,124,0.0268,0.1431,1889.61,0.3094,6108.24,0.3091,0.2630
10,10,2014-01-03T12,2014,1,3,12,124,0.0263,0.1407,1899.40,0.3092,6143.48,0.3090,0.2656
11,11,2014-01-03T18,2014,1,3,18,124,0.0267,0.1409,1901.30,0.3099,6135.51,0.3125,0.2610
12,12,2014-01-04T00,2014,1,4,0,124,0.0259,0.1431,1912.89,0.3101,6168.33,0.3073,0.2652
13,13,2014-01-04T06,2014,1,4,6,124,0.0255,0.1430,1909.35,0.3104,6151.53,0.3089,0.2691
14,14,2014-01-04T12,2014,1,4,12,124,0.0258,0.1442,1921.02,0.3107,6182.52,0.3082,0.2737
15,15,2014-01-04T18,2014,1,4,18,124,0.0269,0.1434,1916.03,0.3109,6163.09,0.3099,0.2710
16,16,2014-01-05T00,2014,1,5,0,124,0.0278,0.1448,1919.24,0.3106,6180.12,0.3060,0.2787
17,17,2014-01-05T06,2014,1,5,6,124,0.0279,0.1435,1912.11,0.3111,6145.87,0.3071,0.2759
18,18,2014-01-05T12,2014,1,5,12,124,0.0273,0.1434,1924.06,0.3128,6151.83,0.3038,0.2817
19,19,2014-01-05T18,2014,1,5,18,20,0.0258,0.1427,1915.49,0.3131,6117.01,0.3066,0.2821
20,20,2014-01-06T00,2014,1,6,0,20,0.0282,0.1440,1918.61,0.3135,6120.34,0.3022,0.2877
21,21,2014-01-06T06,2014,1,6,6,20,0.0291,0.1404,1900.87,0.3125,6082.65,0.3071,0.2815
22,22,2014-01-06T12,2014,1,6,12,20,0.0274,0.1410,1912.52,0.3128,6114.13,0.3053,0.2799
23,23,2014-01-06T18,2014,1,6,18,20,0.0266,0.1418,1900.13,0.3128,6073.73,0.3075,0.2748
24,24,2014-01-07T00,2014,1,7,0,20,0.0269,0.1405,1902.24,0.3129,6078.69,0.3057,0.2782
25,25,2014-01-07T06,2014,1,7,6,20,0.0251,0.1403,1894.27,0.3137,6038.30,0.3066,0.2789
26,26,2014-01-07T12,2014,1,7,12,21,0.0240,0.1406,1901.17,0.3141,6052.73,0.3057,0.2737
27,27,2014-01-07T18,2014,1,7,18,21,0.0253,0.1405,1888.79,0.3149,5997.48,0.3083,0.2781
28,28,2014-01-08T00,2014,1,8,0,21,0.0242,0.1415,1895.39,0.3155,6008.17,0.3047,0.2778
29,29,2014-01-08T06,2014,1,8,6,20,0.0231,0.1421,1883.27,0.3153,5972.73,0.3057,0.2758
30,30,2014-01-08T12,2014,1,8,12,21,0.0243,0.1432,1889.17,0.3155,5987.64,0.3049,0.2752
31,31,2014-01-08T18,2014,1,8,18,21,0.0251,0.1422,1875.04,0.3155,5943.16,0.3083,0.2750
32,32,2014-01-09T00,2014,1,9,0,21,0.0247,0.1436,1879.59,0.3152,5962.21,0.3051,0.2767
33,33,2014-01-09T06,2014,1,9,6,21,0.0258,0.1440,1868.55,0.3147,5938.22,0.3076,0.2726
34,34,2014-01-09T12,2014,1,9,12,21,0.0251,0.1453,1878.44,0.3146,5971.39,0.3048,0.2721
35,35,2014-01-09T18,2014,1,9,18,21,0.0248,0.1450,1868.97,0.3147,5938.38,0.3067,0.2732
36,36,2014-01-10T00,2014,1,10,0,124,0.0255,0.1445,1874.73,0.3147,5957.07,0.3023,0.2743
37,37,2014-01-10T06,2014,1,10,6,124,0.0260,0.1453,1871.14,0.3151,5937.54,0.3040,0.2741
38,38,2014-01-10T12,2014,1,10,12,124,0.0251,0.1457,1876.40,0.3139,5977.19,0.3039,0.2716
39,39,2014-01-10T18,2014,1,10,18,124,0.0247,0.1449,1863.11,0.3139,5935.14,0.3058,0.2690
40,40,2014-01-11T00,2014,1,11,0,124,0.0251,0.1450,1864.11,0.3131,5954.53,0.3043,0.2684
41,41,2014-01-11T06,2014,1,11,6,124,0.0244,0.1461,1851.30,0.3124,5925.74,0.3061,0.2694
42,42,2014-01-11T12,2014,1,11,12,20,0.0249,0.1444,1862.96,0.3122,5967.79,0.3039,0.2660
43,43,2014-01-11T18,2014,1,11,18,20,0.0258,0.1429,1858.01,0.3125,5945.33,0.3057,0.2594
44,44,2014-01-12T00,2014,1,12,0,20,0.0256,0.1436,1862.78,0.3123,5964.34,0.3033,0.2639
45,45,2014-01-12T06,2014,1,12,6,20,0.0248,0.1416,1852.06,0.3114,5947.11,0.3049,0.2648
46,46,2014-01-12T12,2014,1,12,12,20,0.0237,0.1425,1870.12,0.3120,5994.47,0.3030,0.2709
47,47,2014-01-12T18,2014,1,12,18,112,0.0238,0.1426,1863.68,0.3115,5982.09,0.3066,0.2651
48,48,2014-01-13T00,2014,1,13,0,124,0.0235,0.1442,1875.05,0.3118,6014.54,0.3008,0.2730
49,49,2014-01-13T06,2014,1,13,6,124,0.0230,0.1423,1863.95,0.3109,5994.52,0.3054,0.2659
50,50,2014-01-13T12,2014,1,13,12,112,0.0229,0.1421,1879.68,0.3113,6038.59,0.3039,0.2639
51,51,2014-01-13T18,2014,1,13,18,112,0.0239,0.1417,1869.78,0.3105,6022.73,0.3074,0.2598
