file_id,idx,datetime_utc,year,month,day,hour_utc,dom_cluster,dom_frac,rare_exposure,mean_residual,residual_frac,mean_total
0,0,2014-01-01T00,2014,1,1,0,67,0.0247,0.1199,1883.40,0.3119,6037.80
1,1,2014-01-01T06,2014,1,1,6,67,0.0251,0.1217,1879.35,0.3119,6024.96
2,2,2014-01-01T12,2014,1,1,12,67,0.0252,0.1212,1884.72,0.3114,6052.57
3,3,2014-01-01T18,2014,1,1,18,67,0.0265,0.1216,1876.05,0.3106,6039.88
4,4,2014-01-02T00,2014,1,2,0,67,0.0263,0.1226,1888.60,0.3113,6066.99
5,5,2014-01-02T06,2014,1,2,6,67,0.0270,0.1222,1887.36,0.3116,6056.59
6,6,2014-01-02T12,2014,1,2,12,67,0.0274,0.1219,1898.70,0.3117,6092.41
7,7,2014-01-02T18,2014,1,2,18,67,0.0280,0.1236,1887.70,0.3108,6074.57
8,8,2014-01-03T00,2014,1,3,0,67,0.0288,0.1252,1899.35,0.3105,6116.13
9,9,2014-01-03T06,2014,1,3,6,67,0.0273,0.1237,1893.60,0.3100,6108.26
10,10,2014-01-03T12,2014,1,3,12,67,0.0269,0.1213,1899.61,0.3092,6143.51
11,11,2014-01-03T18,2014,1,3,18,67,0.0269,0.1236,1900.39,0.3097,6135.54
12,12,2014-01-04T00,2014,1,4,0,67,0.0276,0.1245,1915.48,0.3105,6168.37
13,13,2014-01-04T06,2014,1,4,6,67,0.0272,0.1261,1912.40,0.3109,6151.56
14,14,2014-01-04T12,2014,1,4,12,67,0.0261,0.1264,1926.85,0.3117,6182.55
15,15,2014-01-04T18,2014,1,4,18,67,0.0264,0.1279,1922.41,0.3119,6163.12
16,16,2014-01-05T00,2014,1,5,0,67,0.0264,0.1270,1927.59,0.3119,6180.15
17,17,2014-01-05T06,2014,1,5,6,67,0.0256,0.1271,1920.70,0.3125,6145.90
18,18,2014-01-05T12,2014,1,5,12,67,0.0251,0.1241,1931.42,0.3140,6151.87
19,19,2014-01-05T18,2014,1,5,18,67,0.0256,0.1230,1921.74,0.3142,6117.04
20,20,2014-01-06T00,2014,1,6,0,43,0.0235,0.1239,1925.37,0.3146,6120.37
21,21,2014-01-06T06,2014,1,6,6,43,0.0235,0.1237,1907.65,0.3136,6082.68
22,22,2014-01-06T12,2014,1,6,12,67,0.0232,0.1251,1918.31,0.3137,6114.16
23,23,2014-01-06T18,2014,1,6,18,43,0.0238,0.1238,1905.24,0.3137,6073.75
24,24,2014-01-07T00,2014,1,7,0,67,0.0247,0.1266,1909.30,0.3141,6078.71
25,25,2014-01-07T06,2014,1,7,6,67,0.0248,0.1261,1900.97,0.3148,6038.32
26,26,2014-01-07T12,2014,1,7,12,67,0.0253,0.1266,1905.72,0.3149,6052.75
27,27,2014-01-07T18,2014,1,7,18,67,0.0246,0.1261,1893.28,0.3157,5997.50
28,28,2014-01-08T00,2014,1,8,0,67,0.0225,0.1266,1899.71,0.3162,6008.20
29,29,2014-01-08T06,2014,1,8,6,67,0.0225,0.1278,1887.56,0.3160,5972.76
30,30,2014-01-08T12,2014,1,8,12,67,0.0239,0.1280,1892.00,0.3160,5987.66
31,31,2014-01-08T18,2014,1,8,18,67,0.0243,0.1274,1877.31,0.3159,5943.17
32,32,2014-01-09T00,2014,1,9,0,67,0.0243,0.1286,1884.58,0.3161,5962.23
33,33,2014-01-09T06,2014,1,9,6,67,0.0256,0.1300,1874.59,0.3157,5938.23
34,34,2014-01-09T12,2014,1,9,12,67,0.0273,0.1300,1882.57,0.3153,5971.40
35,35,2014-01-09T18,2014,1,9,18,67,0.0269,0.1273,1870.65,0.3150,5938.39
36,36,2014-01-10T00,2014,1,10,0,67,0.0260,0.1287,1876.91,0.3151,5957.08
37,37,2014-01-10T06,2014,1,10,6,67,0.0254,0.1285,1874.76,0.3157,5937.54
38,38,2014-01-10T12,2014,1,10,12,67,0.0247,0.1272,1880.74,0.3147,5977.20
39,39,2014-01-10T18,2014,1,10,18,60,0.0239,0.1250,1866.58,0.3145,5935.14
40,40,2014-01-11T00,2014,1,11,0,60,0.0237,0.1265,1872.27,0.3144,5954.53
41,41,2014-01-11T06,2014,1,11,6,60,0.0237,0.1239,1860.74,0.3140,5925.74
42,42,2014-01-11T12,2014,1,11,12,60,0.0240,0.1220,1873.66,0.3140,5967.80
43,43,2014-01-11T18,2014,1,11,18,60,0.0241,0.1208,1865.25,0.3137,5945.33
44,44,2014-01-12T00,2014,1,12,0,67,0.0232,0.1215,1870.13,0.3136,5964.35
45,45,2014-01-12T06,2014,1,12,6,67,0.0235,0.1204,1855.59,0.3120,5947.12
46,46,2014-01-12T12,2014,1,12,12,60,0.0231,0.1221,1871.81,0.3123,5994.49
47,47,2014-01-12T18,2014,1,12,18,4,0.0233,0.1227,1865.74,0.3119,5982.11
48,48,2014-01-13T00,2014,1,13,0,4,0.0222,0.1242,1876.64,0.3120,6014.57
49,49,2014-01-13T06,2014,1,13,6,60,0.0221,0.1259,1870.02,0.3120,5994.54
50,50,2014-01-13T12,2014,1,13,12,67,0.0231,0.1252,1883.07,0.3118,6038.61
51,51,2014-01-13T18,2014,1,13,18,67,0.0228,0.1250,1874.68,0.3113,6022.74
52,52,2014-01-14T00,2014,1,14,0,60,0.0233,0.1238,1885.42,0.3111,6060.69
