cluster,tokens,share,margin_mean,near_frac,runner_up,runner_up_frac
0,1661809,0.010386,0.4724,0.0357,17,0.4716
1,1392003,0.008700,0.1108,0.5313,85,0.1837
2,494147,0.003088,0.6531,0.0327,15,0.1696
3,1012487,0.006328,0.2081,0.2904,46,0.3333
4,1802181,0.011263,0.1101,0.5507,59,0.2044
5,1309410,0.008184,0.0988,0.6113,33,0.2039
6,1976640,0.012354,0.1419,0.4441,4,0.2188
7,971261,0.006070,0.1146,0.5434,48,0.2233
8,897898,0.005612,0.2158,0.2197,97,0.2688
9,1245143,0.007782,0.1159,0.5289,57,0.1742
10,1632620,0.010204,0.1982,0.2560,59,0.2850
11,1193307,0.007458,0.1660,0.4043,43,0.1354
12,1244618,0.007779,0.0954,0.6287,65,0.2086
13,898423,0.005615,0.1587,0.4813,54,0.2612
14,687137,0.004295,0.7718,0.0347,27,0.5769
15,1057912,0.006612,0.2139,0.2644,23,0.3569
16,1276746,0.007980,0.3233,0.1126,89,0.3315
17,2006132,0.012538,0.3280,0.0436,123,0.3730
18,1349217,0.008432,0.1621,0.4342,52,0.2317
19,1221936,0.007637,0.1977,0.3481,108,0.1773
20,731845,0.004574,0.2258,0.3138,81,0.2255
21,1573383,0.009834,0.6331,0.0092,90,0.2389
22,1225682,0.007660,0.1080,0.5508,71,0.2247
23,974940,0.006093,0.1890,0.3197,15,0.2838
24,1074553,0.006716,0.2370,0.2794,73,0.2161
25,1417460,0.008859,0.5673,0.0474,74,0.2729
26,1254224,0.007839,0.0917,0.6408,40,0.1573
27,2749899,0.017187,0.5190,0.0133,14,0.4218
28,422223,0.002639,0.7111,0.0435,49,0.5897
29,1045702,0.006536,0.1498,0.4427,103,0.1168
30,1217109,0.007607,0.1268,0.5025,126,0.3469
31,981031,0.006131,0.1048,0.5880,48,0.3242
32,632276,0.003952,0.4250,0.0604,89,0.2783
33,1479280,0.009245,0.0958,0.6264,5,0.1765
34,1483992,0.009275,0.1683,0.3704,76,0.1686
35,1824143,0.011401,0.4506,0.0517,74,0.2121
36,906282,0.005664,0.1584,0.4337,98,0.2703
37,639311,0.003996,0.2100,0.4110,67,0.1904
38,438164,0.002738,0.2814,0.1913,105,0.1984
39,1879851,0.011749,0.1348,0.4779,70,0.2174
40,918171,0.005738,0.1091,0.5958,54,0.2518
41,1457744,0.009111,0.1448,0.4750,6,0.2239
42,2056975,0.012856,0.1210,0.4917,95,0.2293
43,1591716,0.009948,0.2251,0.3290,121,0.2055
44,863104,0.005394,0.1582,0.4088,71,0.2163
45,1048592,0.006554,0.0933,0.6640,106,0.2562
46,1188475,0.007428,0.1798,0.3502,3,0.2605
47,860785,0.005380,0.2402,0.2058,53,0.4081
48,1296960,0.008106,0.0888,0.6320,31,0.2329
49,601787,0.003761,0.7418,0.0377,28,0.7707
50,2526437,0.015790,0.3100,0.0884,17,0.3097
51,826468,0.005165,0.2867,0.1685,116,0.1822
52,1303730,0.008148,0.1392,0.4751,18,0.2121
53,1234630,0.007716,0.2085,0.2237,47,0.4440
54,1123680,0.007023,0.0910,0.6381,73,0.3017
55,637053,0.003982,0.4560,0.1720,62,0.1261
56,1685942,0.010537,0.4129,0.0392,80,0.3798
57,926189,0.005789,0.1050,0.6015,9,0.1816
58,1577928,0.009862,0.1005,0.6029,86,0.2985
59,1393419,0.008709,0.1708,0.3736,10,0.2614
60,1416878,0.008855,0.1181,0.5423,5,0.1639
61,1671345,0.010446,0.2203,0.2260,47,0.2572
62,620760,0.003880,0.4015,0.1518,69,0.1947
63,577921,0.003612,0.3324,0.1572,11,0.2902
64,1048150,0.006551,0.1801,0.3254,7,0.2310
65,1530460,0.009565,0.1077,0.5516,12,0.2644
66,2716397,0.016977,0.8348,0.0093,77,0.5818
67,1558684,0.009742,0.1178,0.5160,58,0.2096
68,1178252,0.007364,0.1837,0.4285,117,0.3397
69,705110,0.004407,0.1962,0.3452,4,0.1589
70,1701883,0.010637,0.1494,0.3938,39,0.3678
71,1250228,0.007814,0.1461,0.4633,22,0.2769
72,745480,0.004659,0.3229,0.1475,23,0.2103
73,1289064,0.008057,0.0869,0.6497,54,0.2888
74,2169784,0.013561,0.3530,0.0715,35,0.1884
75,1184391,0.007402,0.1466,0.4270,99,0.2276
76,1518382,0.009490,0.1362,0.4862,121,0.2539
77,762400,0.004765,1.3371,0.0183,0,0.4836
78,2212501,0.013828,0.2348,0.2862,111,0.2184
79,541330,0.003383,0.4537,0.0409,32,0.2613
80,1301815,0.008136,0.5159,0.0243,56,0.2894
81,917924,0.005737,0.2619,0.1787,20,0.2451
82,1564155,0.009776,0.1266,0.4755,95,0.2142
83,1711174,0.010695,0.2830,0.2129,78,0.3221
84,1127565,0.007047,0.0961,0.6209,126,0.1730
85,1796568,0.011228,0.1394,0.3844,114,0.3506
86,1738271,0.010864,0.1169,0.5252,58,0.2945
87,876012,0.005475,0.3025,0.1486,34,0.2520
88,1664659,0.010404,0.1360,0.4515,42,0.2233
89,1493525,0.009334,0.3557,0.0704,16,0.4297
90,1335381,0.008346,0.3619,0.1414,121,0.2010
91,933161,0.005832,0.3231,0.1438,115,0.3128
92,597220,0.003733,0.3535,0.1242,15,0.1732
93,1751390,0.010946,0.5173,0.0351,50,0.3283
94,1034446,0.006465,0.1668,0.4563,78,0.1864
95,1455949,0.009100,0.1281,0.5014,42,0.3098
96,683145,0.004270,0.3719,0.2100,110,0.1847
97,867631,0.005423,0.1991,0.2865,12,0.1961
98,1278935,0.007993,0.1570,0.4227,36,0.2166
99,1178608,0.007366,0.0880,0.6614,65,0.2168
100,1072847,0.006705,0.1132,0.5405,101,0.1076
101,1024117,0.006401,0.0875,0.6529,40,0.1863
102,753653,0.004710,0.1885,0.3489,95,0.2286
103,711025,0.004444,0.2159,0.2875,29,0.2197
104,1057208,0.006607,0.1535,0.4227,120,0.1513
105,1519789,0.009499,0.2178,0.2077,53,0.1639
106,1120285,0.007002,0.0826,0.7007,45,0.1918
107,1422546,0.008891,0.2661,0.2690,39,0.3011
108,859362,0.005371,0.1667,0.4061,9,0.2176
109,606493,0.003791,0.4076,0.1258,44,0.1954
110,1234452,0.007715,0.1877,0.3209,117,0.2525
111,1451746,0.009073,0.1911,0.3921,119,0.2417
112,654170,0.004089,0.2813,0.1650,23,0.1896
113,1440113,0.009001,0.1922,0.3948,121,0.2162
114,2095562,0.013097,0.1362,0.4135,85,0.2637
115,1303852,0.008149,0.2096,0.2268,69,0.2466
116,657401,0.004109,0.2274,0.2885,51,0.1691
117,1941600,0.012135,0.1095,0.5359,68,0.2226
118,827760,0.005173,0.2256,0.2472,22,0.2366
119,1926037,0.012038,0.1707,0.3624,70,0.2095
120,1031918,0.006449,0.1997,0.3159,126,0.3209
121,1516429,0.009478,0.2108,0.3493,76,0.2726
122,698543,0.004366,0.1754,0.4568,82,0.1657
123,1245206,0.007782,0.5209,0.0129,17,0.5792
124,865987,0.005412,0.4624,0.1001,4,0.2693
125,1838880,0.011493,0.2286,0.2207,113,0.1939
126,1593218,0.009957,0.1304,0.4349,30,0.3089
127,1422753,0.008892,0.8419,0.0295,107,0.4136
