file_id,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
0,0.010417,0.007731,0.003174,0.007161,0.014323,0.008952,0.006348,0.009684,0.001709,0.011312,0.010173,0.014974,0.003174,0.005534,0.004395,0.005941,0.007975,0.012126,0.009277,0.007568,0.003743,0.009766,0.009033,0.005208,0.000000,0.008870,0.005615,0.017253,0.002116,0.016195,0.018066,0.007568,0.003988,0.008545,0.003174,0.011475,0.010986,0.003092,0.002767,0.007406,0.005697,0.008138,0.011149,0.017822,0.005859,0.003662,0.009603,0.006348,0.005371,0.004150,0.015462,0.004476,0.018066,0.010742,0.003906,0.003499,0.010579,0.012288,0.014648,0.010010,0.014648,0.008219,0.003011,0.003255,0.015951,0.004476,0.017008,0.024658,0.005290,0.003581,0.011149,0.001383,0.003906,0.000000,0.013916,0.000895,0.010742,0.004720,0.015544,0.003418,0.008219,0.006429,0.000000,0.012288,0.005859,0.011800,0.005615,0.004476,0.003174,0.009521,0.009277,0.003906,0.004395,0.010905,0.007080,0.002523,0.003418,0.004639,0.005697,0.016764,0.014323,0.013265,0.000244,0.007487,0.000488,0.004395,0.000651,0.009521,0.006592,0.002035,0.008545,0.007812,0.004150,0.010905,0.014486,0.006510,0.000244,0.011882,0.005208,0.010254,0.006429,0.016764,0.000407,0.007650,0.005371,0.012207,0.003092,0.009033
1,0.010417,0.007894,0.003337,0.006836,0.013753,0.007975,0.005697,0.011719,0.001709,0.010742,0.010742,0.014730,0.001872,0.005208,0.004476,0.005859,0.007975,0.012370,0.009196,0.008301,0.003743,0.009847,0.007568,0.004883,0.000000,0.008870,0.006185,0.017253,0.002116,0.016195,0.016113,0.008382,0.004069,0.009440,0.002930,0.011556,0.011963,0.003092,0.002848,0.007161,0.005452,0.007894,0.010417,0.018962,0.005615,0.003988,0.009196,0.006592,0.006266,0.004069,0.015788,0.004720,0.020020,0.010010,0.003581,0.003743,0.010742,0.011637,0.014242,0.010254,0.014404,0.008138,0.003092,0.003499,0.014323,0.004232,0.017008,0.025065,0.005452,0.003499,0.011149,0.001709,0.004150,0.000081,0.014079,0.001139,0.010173,0.004639,0.015869,0.003418,0.008219,0.006266,0.000000,0.011882,0.006348,0.012451,0.005046,0.004801,0.002360,0.009521,0.008708,0.006673,0.004395,0.011068,0.006266,0.002279,0.003092,0.004801,0.005290,0.015055,0.014404,0.013346,0.000081,0.007243,0.000407,0.004232,0.000977,0.010091,0.006836,0.002116,0.008219,0.007975,0.004232,0.010335,0.015137,0.005615,0.000407,0.012777,0.005534,0.010254,0.006917,0.016764,0.000244,0.007568,0.005452,0.012451,0.003581,0.008952
2,0.010417,0.007650,0.003255,0.006673,0.013672,0.008952,0.005371,0.010661,0.001790,0.009766,0.010010,0.014404,0.001790,0.006022,0.004476,0.005859,0.007894,0.012695,0.008545,0.007650,0.003662,0.009847,0.007161,0.005046,0.000000,0.008708,0.005615,0.017253,0.002116,0.016357,0.017904,0.006348,0.004069,0.011393,0.003255,0.011637,0.010986,0.003092,0.002930,0.007487,0.006510,0.007650,0.009766,0.018473,0.005127,0.005046,0.009847,0.006510,0.006266,0.004069,0.015951,0.004801,0.020426,0.010905,0.002930,0.003825,0.010661,0.011800,0.013509,0.010010,0.016357,0.008789,0.003662,0.003499,0.015381,0.003499,0.017008,0.025228,0.005127,0.003255,0.011312,0.001221,0.004069,0.000163,0.014242,0.001221,0.010335,0.004639,0.015218,0.003255,0.008219,0.006185,0.000081,0.011230,0.006429,0.011475,0.005452,0.005290,0.002441,0.009684,0.008789,0.005859,0.004395,0.011068,0.006999,0.002279,0.003255,0.004720,0.005778,0.016195,0.014893,0.013184,0.000081,0.007650,0.000570,0.004720,0.000651,0.009359,0.005941,0.002116,0.008545,0.007975,0.004313,0.010661,0.015137,0.006429,0.000407,0.011800,0.005290,0.009847,0.006999,0.016846,0.000570,0.007812,0.005046,0.012207,0.002116,0.009033
3,0.010579,0.008057,0.003092,0.006592,0.013672,0.008626,0.006673,0.011475,0.001709,0.008138,0.009440,0.013753,0.001302,0.004964,0.004395,0.006185,0.007975,0.012370,0.008219,0.007406,0.003825,0.009847,0.007080,0.005208,0.000000,0.008626,0.005615,0.017253,0.002116,0.016032,0.017904,0.007568,0.004069,0.011556,0.003337,0.011556,0.010986,0.003011,0.002848,0.007161,0.006429,0.008789,0.009033,0.018473,0.004801,0.004313,0.009115,0.006429,0.006185,0.004232,0.015544,0.004639,0.020345,0.011068,0.003825,0.003906,0.010742,0.012614,0.014323,0.010010,0.014242,0.009440,0.003581,0.003499,0.015544,0.002441,0.016927,0.026530,0.005046,0.003825,0.010091,0.001058,0.004150,0.000081,0.014323,0.001302,0.009766,0.004557,0.014242,0.003418,0.008219,0.006104,0.000081,0.011556,0.006104,0.012695,0.005371,0.005046,0.002441,0.009521,0.008708,0.004150,0.004476,0.010986,0.006348,0.001953,0.003092,0.005371,0.005941,0.016764,0.014486,0.013428,0.000326,0.007487,0.000407,0.004476,0.000651,0.009196,0.006185,0.002035,0.008301,0.007324,0.004069,0.011637,0.015218,0.007487,0.000326,0.012695,0.005046,0.012858,0.006836,0.017822,0.000651,0.007731,0.005371,0.012288,0.002848,0.008789
4,0.010498,0.007731,0.003174,0.006592,0.016927,0.008789,0.006022,0.009928,0.002035,0.006999,0.009115,0.013835,0.001953,0.007080,0.004557,0.006510,0.008057,0.012207,0.008708,0.007487,0.003743,0.009847,0.005941,0.005697,0.000000,0.008708,0.003988,0.017253,0.002116,0.016683,0.018962,0.006917,0.004150,0.012939,0.003255,0.011475,0.010335,0.003174,0.002767,0.007161,0.006917,0.008545,0.009115,0.018962,0.005778,0.004150,0.009277,0.006510,0.006755,0.004150,0.015218,0.004720,0.020589,0.011068,0.003255,0.003743,0.010742,0.013753,0.013509,0.009766,0.014079,0.008789,0.003743,0.003499,0.014974,0.002360,0.016927,0.026286,0.004720,0.003499,0.010417,0.001221,0.004069,0.000000,0.014160,0.002279,0.009766,0.004639,0.013021,0.003337,0.008219,0.006022,0.000081,0.011149,0.006999,0.012370,0.004557,0.005046,0.002035,0.009440,0.008789,0.003825,0.004313,0.011068,0.007568,0.001790,0.003174,0.004964,0.005127,0.015706,0.014893,0.014242,0.000407,0.007324,0.000163,0.004069,0.001139,0.009440,0.006429,0.002116,0.008219,0.007731,0.004069,0.013184,0.015299,0.007487,0.000488,0.012288,0.005371,0.012451,0.007161,0.016764,0.000326,0.007812,0.005127,0.011963,0.001302,0.008870
5,0.010498,0.006999,0.003174,0.006510,0.016520,0.006917,0.005615,0.009359,0.002604,0.007080,0.009115,0.013916,0.001546,0.007487,0.004476,0.006185,0.008138,0.012370,0.008382,0.007487,0.003255,0.009847,0.006592,0.005615,0.000000,0.008870,0.005046,0.017253,0.002116,0.016357,0.017660,0.007406,0.004232,0.013346,0.003011,0.011637,0.011475,0.002848,0.002930,0.008138,0.007324,0.007568,0.008545,0.019287,0.005859,0.003743,0.009359,0.006429,0.006836,0.004150,0.015544,0.004639,0.021322,0.010254,0.002848,0.003825,0.010579,0.014079,0.013916,0.009847,0.015218,0.009115,0.003337,0.003499,0.013916,0.001872,0.016846,0.027018,0.004801,0.003662,0.009684,0.001465,0.004232,0.000081,0.014079,0.001953,0.010173,0.004720,0.013184,0.003255,0.008219,0.006266,0.000000,0.011068,0.006348,0.012533,0.003988,0.004883,0.002279,0.009277,0.008952,0.007894,0.004313,0.010986,0.008138,0.001465,0.003255,0.003906,0.005127,0.016927,0.013672,0.013916,0.000244,0.007080,0.000081,0.003825,0.001058,0.009440,0.008138,0.002116,0.008138,0.007487,0.004313,0.013672,0.015869,0.005127,0.000407,0.012614,0.005371,0.012695,0.007080,0.016357,0.000326,0.007894,0.004557,0.012126,0.001709,0.008789
6,0.010498,0.006266,0.003092,0.006592,0.016683,0.007161,0.005778,0.010010,0.002686,0.005534,0.009684,0.012614,0.001465,0.005859,0.004476,0.005859,0.008219,0.012533,0.006592,0.007894,0.003255,0.009766,0.006917,0.006104,0.000000,0.008708,0.004150,0.017253,0.002116,0.017171,0.019613,0.007161,0.004150,0.013021,0.003174,0.011637,0.010986,0.002848,0.002686,0.008952,0.007731,0.007812,0.008138,0.021077,0.005859,0.004150,0.009928,0.006429,0.007243,0.004232,0.015462,0.004720,0.021240,0.012126,0.003255,0.003255,0.010661,0.013428,0.014079,0.009440,0.017415,0.008545,0.003337,0.003499,0.014811,0.001953,0.016846,0.027425,0.004395,0.003662,0.010498,0.001221,0.004313,0.000326,0.014079,0.002279,0.011556,0.004801,0.012858,0.003255,0.008219,0.006185,0.000000,0.011556,0.006917,0.012207,0.004232,0.005371,0.002604,0.009359,0.008626,0.007161,0.004476,0.010905,0.007080,0.001546,0.003743,0.003581,0.004557,0.016927,0.014404,0.012858,0.000163,0.007487,0.000081,0.003581,0.000977,0.009359,0.007080,0.002116,0.008301,0.006917,0.004395,0.013590,0.015218,0.005208,0.000407,0.011800,0.005127,0.012207,0.006510,0.015381,0.000570,0.007731,0.004720,0.011882,0.001302,0.008870
7,0.010579,0.006022,0.003011,0.006266,0.015951,0.006510,0.005778,0.009603,0.002686,0.005127,0.010091,0.012614,0.001383,0.006185,0.004476,0.006022,0.008057,0.012533,0.007324,0.008382,0.003092,0.009684,0.007812,0.006510,0.000000,0.008708,0.004232,0.017253,0.002197,0.017090,0.019613,0.007243,0.004150,0.013265,0.003174,0.011475,0.013509,0.002848,0.002848,0.008626,0.007975,0.008382,0.007894,0.020752,0.005859,0.002686,0.009440,0.006510,0.007080,0.004232,0.015625,0.005127,0.019938,0.012126,0.003499,0.003581,0.010661,0.013102,0.013509,0.009033,0.017253,0.009277,0.003499,0.003499,0.013672,0.002035,0.016846,0.027995,0.004313,0.003825,0.010010,0.002035,0.004395,0.000244,0.014079,0.001709,0.012614,0.004639,0.012777,0.003255,0.008219,0.006185,0.000081,0.010986,0.007243,0.013102,0.004801,0.005046,0.002360,0.009521,0.008138,0.004395,0.004395,0.010986,0.007324,0.002197,0.003743,0.004557,0.003906,0.017578,0.013346,0.012695,0.000163,0.007243,0.000244,0.003174,0.001139,0.009277,0.007487,0.002116,0.008626,0.006999,0.004313,0.013346,0.014160,0.006836,0.000163,0.011475,0.005127,0.012858,0.006592,0.016113,0.000570,0.007812,0.004964,0.011882,0.000977,0.008626
8,0.010498,0.006104,0.003092,0.006755,0.016439,0.006104,0.005941,0.009928,0.003418,0.004639,0.009196,0.013021,0.001628,0.005534,0.004476,0.006022,0.007975,0.012451,0.007731,0.007812,0.003092,0.009603,0.007568,0.006266,0.000081,0.008952,0.004801,0.017253,0.002197,0.017334,0.019613,0.006755,0.004232,0.014567,0.002930,0.011475,0.012777,0.002279,0.002848,0.007812,0.008545,0.008219,0.008789,0.021159,0.006185,0.003011,0.010010,0.007243,0.006917,0.004150,0.015625,0.005046,0.019287,0.010905,0.003825,0.003581,0.010742,0.012614,0.013753,0.009440,0.017497,0.009196,0.002848,0.003499,0.013021,0.001546,0.016846,0.028809,0.004232,0.004069,0.010498,0.001546,0.004069,0.000488,0.013916,0.002523,0.013021,0.004801,0.013509,0.003418,0.008138,0.006022,0.000000,0.011312,0.007731,0.011719,0.004069,0.004801,0.002523,0.009440,0.008138,0.004232,0.004395,0.011068,0.005941,0.001546,0.003906,0.005371,0.003662,0.018311,0.013346,0.012858,0.000163,0.007161,0.000081,0.003337,0.001383,0.009033,0.007894,0.002116,0.007731,0.007080,0.003988,0.013590,0.013835,0.007568,0.000244,0.010986,0.005046,0.012939,0.007324,0.015788,0.000326,0.007812,0.005208,0.011719,0.000651,0.008870
9,0.010498,0.006510,0.003255,0.006104,0.014567,0.006429,0.005452,0.012126,0.003499,0.004801,0.009684,0.014648,0.001221,0.004639,0.004395,0.006266,0.007975,0.012533,0.007406,0.008382,0.003174,0.009684,0.008382,0.006104,0.000000,0.008870,0.005941,0.017253,0.002116,0.018229,0.018799,0.005697,0.004069,0.015951,0.003011,0.011393,0.012207,0.002441,0.002930,0.006755,0.007894,0.008870,0.008626,0.021322,0.005697,0.003174,0.010010,0.007161,0.007650,0.004069,0.015788,0.005046,0.018717,0.011068,0.003581,0.003825,0.010742,0.012370,0.013184,0.009440,0.019694,0.008789,0.002848,0.003743,0.012533,0.001302,0.016927,0.027262,0.004313,0.003499,0.011800,0.001628,0.004476,0.000570,0.013835,0.001872,0.013428,0.004720,0.014242,0.003337,0.008219,0.005615,0.000000,0.011393,0.006999,0.012207,0.004232,0.004720,0.002604,0.009603,0.008057,0.008057,0.004232,0.011068,0.004964,0.001221,0.003743,0.003174,0.002930,0.017253,0.013672,0.012777,0.000081,0.006917,0.000244,0.002767,0.000814,0.009115,0.009196,0.002197,0.007568,0.007080,0.003988,0.013184,0.014160,0.006104,0.000326,0.010742,0.005452,0.013102,0.006673,0.016276,0.000326,0.007812,0.005046,0.011800,0.000895,0.008952
